BC_ID BC_Counts Mut_ID
54989 8 100
53509 1523 993
20461 1 313
216496 1 461
7326 1 479
3231 8665 423
21423 41 421
1618 2499 639
1965 1 846
268602 1 414
7329 3318 48
1610 1 55
5192 1 755
210433 1304 423
8840 5215 195
147993 1 423
41596 632 369
41772 32 393
12957 1780 864
68904 1 1009
20261 83 157
168691 39 205
302243 3775 800
3358 93 912
58683 462 88
7061 8 975
89104 1 819
29778 2617 766
169616 983 732
29596 50 326
1143 1594 71
12485 9835 423
231479 52 745
37295 1674 729
119329 198 638
5503 490 381
27607 2 924
1545 1 97
39586 502 809
47685 1 976
34098 1076 639
698 2 376
38295 954 7
38294 372 445
542 2 726
30336 1 190
233341 1224 773
78123 1 194
66370 2 1000
313378 1 792
31753 571 506
96652 14 195
145596 1 544
188605 4 177
77562 541 461
48944 159 292
9987 28 226
9984 1 1003
26256 25 613
61758 3655 177
119034 1 587
192306 4430 717
415 1 589
126670 6 896
151390 2 974
411 2403 296
5715 787 180
3827 1 71
114055 2309 956
311033 1 423
82425 1 757
188286 48 573
35325 119 381
32813 1631 866
35329 1 66
7537 2238 732
7533 1298 439
55257 1 968
65211 994 177
60338 2 89
16653 1298 996
387 3314 266
388 969 26
74037 1 456
110377 568 2
195653 1 807
10983 169 772
224358 518 506
73444 55 412
116287 2149 163
9969 1660 119
56857 1021 757
98110 1 279
3756 3210 227
2191 34 924
74105 1 674
210158 1 843
74450 3343 34
13524 2 534
224919 346 431
51825 491 742
75982 1 768
12039 1 623
2203 3 846
98597 810 231
270607 682 85
12037 103 536
143988 2390 423
36312 2 83
102958 691 1003
116219 3 899
160 204 781
17292 787 66
80170 105 690
130134 1 48
45463 1 9
4834 1 627
6358 21 780
7993 2 86
116694 11 896
11634 1254 112
42495 3999 31
140450 502 70
125888 3 423
98280 1734 985
22299 2 625
9341 2 813
9342 1 657
5298 991 968
46840 1 61
5296 1 577
10165 1678 1005
45866 1 326
49328 1 597
60664 5 401
22816 1981 846
5057 6 381
5050 2 949
1815 1259 962
1810 1 252
16906 2909 959
195318 1 757
102397 21 605
221894 1 780
106390 3 456
53975 5 986
36821 2256 646
97463 1068 246
63866 3067 423
134569 4 34
12219 2135 834
236233 3152 423
18897 3042 975
48439 5 391
49431 3 353
12123 1 1015
37373 1287 866
37372 463 569
43709 1180 979
9295 1 24
247335 1 527
175245 1240 1001
108933 502 248
238189 1 517
325791 523 1019
800 15 639
36170 1 836
18099 994 70
12925 818 555
2847 2210 533
69449 1125 456
72893 1487 775
37198 863 964
268057 1174 539
107603 2 547
38753 3 817
33980 1 333
321 1 333
37978 2 84
45848 1 930
41148 1 856
8148 338 129
30766 1 802
50279 1 1016
40785 17 453
58548 6492 362
312352 1321 171
77915 2 894
28341 20 226
50270 4146 819
51 4 993
436 4337 536
53 1119 340
30341 702 248
15592 1 746
111035 640 864
31210 1643 339
91190 1291 40
8709 1 589
47522 3236 423
132784 19 979
129941 1 724
67412 2 522
17853 1 19
3294 17 311
5606 1 111
5600 33 906
48938 1 804
15028 2 343
91225 39 202
1902 1 421
217198 1 423
92245 1 461
142556 1 731
421 2 509
1395 236 52
151360 131 767
32489 403 705
74734 1281 718
23257 181 627
22384 1367 764
60928 2 313
6426 2289 802
6428 625 4
30968 2540 935
22255 2 586
313969 340 347
233990 3 605
119564 1480 674
35660 1 246
259674 5 423
98611 1638 1002
60813 2398 112
10996 45 949
69508 25 846
5869 745 715
151211 19 652
104257 37 214
215773 3986 648
25412 2 526
17609 11 1007
46473 1525 547
17353 1316 50
74445 802 979
65680 1 639
227 39 133
226 1 526
16226 48 237
2211 1932 826
293454 2 265
43023 2 1011
154115 1005 710
151 1666 710
153457 1343 95
20718 1030 642
52165 1118 209
19833 1 84
17511 1000 962
105298 1 772
152857 1 802
85449 4 947
49150 340 864
46671 1913 890
