BC ID	MUT ID	STRAIN	ENV	DAY	T0	T1	T2	T3	T4
26992	775	DivAnc	SC3	1	3	0	2	1	0
27021	565	DivAnc	SC3	1	1	2	1	2	0
27165	390	DivAnc	SC3	1	3	4	1	5	4
27267	570	DivAnc	SC3	1	2	3	0	1	2
27369	638	DivAnc	SC3	1	231	914	600	1021	1039
27393	349	DivAnc	SC3	1	0	0	0	1	0
27521	109	DivAnc	SC3	1	93	380	146	113	66
27610	792	DivAnc	SC3	1	0	1	0	0	0
27652	1001	DivAnc	SC3	1	1	1	3	6	0
27665	246	DivAnc	SC3	1	66	173	92	160	141
27689	1000	DivAnc	SC3	1	632	3285	1610	2017	1883
27727	786	DivAnc	SC3	1	0	1	2	0	3
27788	252	DivAnc	SC3	1	399	2152	1004	1058	1319
27825	526	DivAnc	SC3	1	348	1265	715	952	1185
27939	461	DivAnc	SC3	1	152	864	405	588	610
27944	211	DivAnc	SC3	1	4	2	1	3	2
28151	205	DivAnc	SC3	1	1	2	0	1	0
28199	780	DivAnc	SC3	1	0	1	0	4	1
28247	34	DivAnc	SC3	1	796	4776	2856	3758	4086
28326	526	DivAnc	SC3	1	254	1068	632	950	1109
28333	423	DivAnc	SC3	1	452	2227	1274	2197	2665
28341	226	DivAnc	SC3	1	34	35	35	35	20
28478	431	DivAnc	SC3	1	52	55	56	47	21
28754	392	DivAnc	SC3	1	473	2352	1078	1985	2732
28847	362	DivAnc	SC3	1	161	753	412	505	533
28856	763	DivAnc	SC3	1	3	5	2	4	1
28874	339	DivAnc	SC3	1	339	1993	1336	1496	1874
28883	574	DivAnc	SC3	1	2	1	0	1	0
28944	986	DivAnc	SC3	1	135	939	452	810	698
28977	885	DivAnc	SC3	1	231	988	412	478	652
28989	247	DivAnc	SC3	1	39	180	47	22	5
29006	865	DivAnc	SC3	1	27	29	34	39	24
29018	204	DivAnc	SC3	1	4	2	0	1	0
29154	727	DivAnc	SC3	1	33	31	37	34	17
29159	536	DivAnc	SC3	1	175	920	577	711	1033
29473	587	DivAnc	SC3	1	72	85	95	94	41
29490	46	DivAnc	SC3	1	214	906	367	484	605
29557	772	DivAnc	SC3	1	2	3	0	0	0
29561	423	DivAnc	SC3	1	518	2325	1331	1777	2039
29596	326	DivAnc	SC3	1	75	70	79	86	50
