"","BC_ID","Gen_0","Strain","Environment"
"253",3871,-5.43007908873,"DivAnc","1_SC3"
"254",3874,-5.73110908439,"DivAnc","1_SC3"
"255",3895,-2.77398088672,"DivAnc","1_SC3"
"256",3950,-5.73110908439,"DivAnc","1_SC3"
"257",3972,-4.95295783401,"DivAnc","1_SC3"
"258",3987,-5.73110908439,"DivAnc","1_SC3"
"259",4026,-2.94792039332,"DivAnc","1_SC3"
"260",4036,-3.12904909306,"DivAnc","1_SC3"
"261",4058,-4.8280190974,"DivAnc","1_SC3"
"262",4070,-3.31280779307,"DivAnc","1_SC3"
"263",4103,-3.14791031042,"DivAnc","1_SC3"
"264",4105,-3.75798123079,"DivAnc","1_SC3"
"265",4141,-5.73110908439,"DivAnc","1_SC3"
"266",4148,-3.07024360639,"DivAnc","1_SC3"
"267",4159,-3.3674971045,"DivAnc","1_SC3"
"268",4169,-5.12904909306,"DivAnc","1_SC3"
"269",4192,-3.96025707275,"DivAnc","1_SC3"
"270",4235,-3.87377658796,"DivAnc","1_SC3"
"271",4298,-5.73110908439,"DivAnc","1_SC3"
"272",4361,-3.97523422872,"DivAnc","1_SC3"
"273",4386,-5.73110908439,"DivAnc","1_SC3"
"274",4389,-3.35453212734,"DivAnc","1_SC3"
"275",4461,-5.43007908873,"DivAnc","1_SC3"
"276",4485,-3.28550488112,"DivAnc","1_SC3"
"277",4532,-2.96321146837,"DivAnc","1_SC3"
"278",4558,-5.03213908006,"DivAnc","1_SC3"
"279",4579,-3.23695449037,"DivAnc","1_SC3"
"280",4590,-5.43007908873,"DivAnc","1_SC3"
"281",4618,-3.06459110384,"DivAnc","1_SC3"
"282",4657,-2.77016288866,"DivAnc","1_SC3"
"283",4688,-5.73110908439,"DivAnc","1_SC3"
"284",4706,-4.06835125271,"DivAnc","1_SC3"
"285",4710,-3.77686657495,"DivAnc","1_SC3"
"286",4717,-2.75475910539,"DivAnc","1_SC3"
"287",4723,-4.58498104871,"DivAnc","1_SC3"
"288",4823,-5.73110908439,"DivAnc","1_SC3"
"289",4829,-5.73110908439,"DivAnc","1_SC3"
"290",4834,-5.12904909306,"DivAnc","1_SC3"
"291",4843,-5.25398782967,"DivAnc","1_SC3"
"292",4856,-3.49306298126,"DivAnc","1_SC3"
"293",4857,-5.73110908439,"DivAnc","1_SC3"
"294",4863,-3.00356782736,"DivAnc","1_SC3"
"295",4886,-3.38475610994,"DivAnc","1_SC3"
"296",4903,-5.73110908439,"DivAnc","1_SC3"
"297",4933,-4.58498104871,"DivAnc","1_SC3"
"298",4954,-4.29974532023,"DivAnc","1_SC3"
"299",4968,-3.31780932031,"DivAnc","1_SC3"
"300",5015,-3.07886274339,"DivAnc","1_SC3"
"301",5026,-5.73110908439,"DivAnc","1_SC3"
"302",5036,-3.44555177538,"DivAnc","1_SC3"
"303",5050,-4.95295783401,"DivAnc","1_SC3"
"304",5057,-4.47583657929,"DivAnc","1_SC3"
"305",5097,-4.95295783401,"DivAnc","1_SC3"
"306",5116,-2.96544052963,"DivAnc","1_SC3"
"307",5133,-4.06835125271,"DivAnc","1_SC3"
"308",5134,-5.73110908439,"DivAnc","1_SC3"
"309",5171,-2.86423127006,"DivAnc","1_SC3"
"310",5172,-5.43007908873,"DivAnc","1_SC3"
"311",5211,-3.9907463949,"DivAnc","1_SC3"
"312",5228,-4.95295783401,"DivAnc","1_SC3"
"313",5237,-5.25398782967,"DivAnc","1_SC3"
"314",5265,-2.88601104438,"DivAnc","1_SC3"
"315",5266,-5.03213908006,"DivAnc","1_SC3"
"316",5271,-5.73110908439,"DivAnc","1_SC3"
"317",5296,-5.43007908873,"DivAnc","1_SC3"
"318",5298,-3.29335852157,"DivAnc","1_SC3"
"319",5304,-5.73110908439,"DivAnc","1_SC3"
"320",5307,-3.79661063315,"DivAnc","1_SC3"
"321",5403,-3.01845938277,"DivAnc","1_SC3"
"322",5409,-4.52698910174,"DivAnc","1_SC3"
"323",5426,-5.73110908439,"DivAnc","1_SC3"
"324",5438,-5.73110908439,"DivAnc","1_SC3"
"325",5461,-5.43007908873,"DivAnc","1_SC3"
"326",5482,-5.43007908873,"DivAnc","1_SC3"
"327",5492,-3.23695449037,"DivAnc","1_SC3"
"328",5494,-5.73110908439,"DivAnc","1_SC3"
"329",5503,-3.64832371408,"DivAnc","1_SC3"
"330",5537,-3.27626422438,"DivAnc","1_SC3"
