STRAIN	BC_ID	MU_ID	ENV	gen_0	gen_10	gen_20	gen_30	gen_40
DivAnc	51278	439	1_SC3	218	1234	560	936	714
DivAnc	77281	308	1_SC3	4	34	24	64	46
DivAnc	379	111	1_SC3	194	1140	518	1097	777
DivAnc	91841	639	1_SC3	510	3118	1450	2785	2350
DivAnc	55025	981	1_SC3	403	2262	1258	2697	2025
DivAnc	6532	964	1_SC3	1	2	0	0	0
DivAnc	19412	597	1_SC3	1	0	0	0	0
DivAnc	181571	50	1_SC3	159	838	439	943	666
DivAnc	182591	9	1_SC3	265	1376	670	1179	912
DivAnc	75530	366	1_SC3	1	2	0	0	0
DivAnc	26443	647	1_SC3	1	5	0	12	18
DivAnc	304554	819	1_SC3	124	738	369	640	462
DivAnc	70988	99	1_SC3	1	10	17	12	10
DivAnc	35440	423	1_SC3	2644	15624	7772	15460	11565
DivAnc	130898	280	1_SC3	2	5	0	0	0
DivAnc	88639	896	1_SC3	667	3864	2067	3865	2951
DivAnc	23877	886	1_SC3	1	0	0	0	0
DivAnc	6784	623	1_SC3	1	16	0	9	1
DivAnc	274835	20	1_SC3	1	0	0	0	0
DivAnc	10979	764	1_SC3	78	433	211	486	349
DivAnc	4723	807	1_SC3	14	136	81	143	74
DivAnc	31903	421	1_SC3	1	19	5	18	41
DivAnc	5844	353	1_SC3	97	655	346	660	486
DivAnc	222798	648	1_SC3	2	18	4	37	19
DivAnc	177103	622	1_SC3	1	0	0	0	0
DivAnc	165832	729	1_SC3	2	19	9	13	5
DivAnc	57261	969	1_SC3	410	2609	1414	2782	2076
DivAnc	41828	763	1_SC3	1	0	0	0	0
DivAnc	117240	353	1_SC3	1	0	0	0	0
DivAnc	32006	780	1_SC3	3	16	7	4	8
DivAnc	182286	476	1_SC3	531	2885	1425	2865	2373
DivAnc	56407	625	1_SC3	197	819	400	761	601
DivAnc	11757	573	1_SC3	408	2417	1245	2645	2068
DivAnc	2270	918	1_SC3	1	0	0	0	0
DivAnc	64597	582	1_SC3	68	361	218	463	429
DivAnc	37683	597	1_SC3	1	10	3	0	0
DivAnc	12000	1012	1_SC3	410	2387	1174	2532	1938
DivAnc	69748	41	1_SC3	809	4996	2433	4942	3484
DivAnc	166582	316	1_SC3	1	18	18	32	6
DivAnc	205632	692	1_SC3	76	477	222	384	322
DivAnc	178753	423	1_SC3	1	10	5	6	8
DivAnc	9241	111	1_SC3	98	521	253	574	497
DivAnc	122602	954	1_SC3	3	12	8	15	6
DivAnc	38423	475	1_SC3	242	1355	672	1538	1101
DivAnc	149136	599	1_SC3	5	45	12	3	0
DivAnc	150610	235	1_SC3	1	0	0	0	0
DivAnc	3597	473	1_SC3	1	26	16	5	6
DivAnc	154071	453	1_SC3	6	28	20	49	41
DivAnc	17999	265	1_SC3	2	12	0	0	0
DivAnc	80107	442	1_SC3	88	609	293	663	596
DivAnc	4829	547	1_SC3	1	3	0	0	0
DivAnc	185671	309	1_SC3	3	25	3	3	0
DivAnc	29154	727	1_SC3	34	207	113	265	219
DivAnc	4532	1012	1_SC3	586	3404	1595	3147	2686
DivAnc	21930	34	1_SC3	288	1652	745	1626	1323
DivAnc	11625	151	1_SC3	1	4	11	17	5
DivAnc	140426	772	1_SC3	2	26	4	0	0
DivAnc	294550	639	1_SC3	1	5	0	0	0
DivAnc	270722	618	1_SC3	4	53	33	70	49
DivAnc	140422	412	1_SC3	338	1853	952	2124	1731
DivAnc	10152	639	1_SC3	2	7	5	0	0
DivAnc	57317	217	1_SC3	697	3974	1967	4186	3188
DivAnc	48559	426	1_SC3	324	1703	947	2022	1518
DivAnc	317739	585	1_SC3	2	10	0	0	0
DivAnc	10158	395	1_SC3	237	1368	760	1289	980
DivAnc	54564	456	1_SC3	1	3	0	0	0
DivAnc	124436	520	1_SC3	90	546	361	681	464
DivAnc	37372	569	1_SC3	215	1205	622	1229	1061
DivAnc	22805	886	1_SC3	446	2627	1310	2427	1990
