BC_ID BC_Counts Mut_ID
63663 2 91
195482 2 979
2089 2 699
270713 557 387
323419 1 13
26269 10264 423
141904 1661 468
17760 1 319
17761 1 132
58033 1 50
90281 1673 201
134121 3 729
105571 238 457
17166 2 149
7220 3 109
1197 2 138
172343 2718 252
18637 1 266
10681 1 38
118978 175 366
60448 1 769
16966 1478 205
2155 68 573
2157 12864 423
2403 38 204
184803 60 119
930 1 340
138246 44 853
38419 1696 781
36593 1 32
5388 3 441
41414 2 440
36598 1 546
9341 3 813
63533 3 104
1756 632 769
49456 1148 976
54683 1 618
54689 1 780
7311 49 71
3245 1 280
63089 2 947
36975 1 596
36971 2 60
90731 1 949
18414 24 125
203856 8726 423
257477 1414 143
175284 1 1014
61827 1 186
1481 483 804
156188 1 45
317054 1 618
10236 23 685
3150 2 421
5494 1 768
27825 2330 526
73056 1 899
5492 1679 371
68641 2945 90
12143 118 189
21506 3 418
15323 1 161
14192 1 757
48580 1 886
121632 4069 159
83890 1003 672
42526 2222 266
109406 44 868
1132 3947 252
30705 1 639
7787 1 717
24563 3 148
3018 1 492
208618 933 468
239836 80 894
91429 1604 209
7143 1 308
33895 70 564
24527 1 313
137227 1 289
64828 1368 458
8720 3 185
13495 1 308
1003 4 518
31014 1 449
628 2 212
23653 7 680
8295 2850 243
123076 1033 574
89033 916 584
268499 1 459
34385 3 279
11011 120 536
28093 1 710
23014 15 84
136155 1853 959
115284 38 524
143394 1 547
183115 1 383
155199 1 34
22631 2 130
3871 1 975
110502 1873 935
184485 1 644
145495 1 976
30944 2931 526
184247 965 302
18 1 109
170259 267 149
77875 1705 903
44808 2106 691
25630 72 1002
61303 221 170
7769 2 491
282361 3 1001
3900 3 983
26298 2339 956
28874 3645 339
93482 1470 476
35647 1861 423
235139 1707 757
11488 2 205
304281 3 687
35649 3253 853
78930 14 638
21586 1 102
98635 1 280
115933 1 639
154621 1 949
4169 5 381
240470 2 772
51327 1 618
16023 1 99
35249 12608 807
267024 1 544
19924 2676 780
208 2272 337
7244 37 868
32280 572 618
244505 730 724
25361 4289 34
43006 1 618
2230 1613 1001
69781 113 235
104580 370 835
11795 1 723
42574 3222 7
150122 1001 183
5933 30 313
5930 2145 971
253342 2961 899
260688 443 979
64571 5 979
64577 3287 6
229 1 266
7364 51 352
76886 5258 692
185905 1 202
226 3 526
36347 1307 43
4579 1776 815
19816 2 520
32137 48 756
41954 1 509
184728 766 13
42378 61 549
210055 2087 967
2529 1 781
98412 1 840
121826 1 874
104160 844 984
9379 15 162
197403 1029 119
5061 1 993
197406 1505 162
93375 4 689
4886 1719 34
7966 11 228
38803 2691 71
98890 3251 34
1829 684 570
251508 43 893
17084 236 589
2416 1 602
42976 2847 742
138785 1 835
42203 6538 859
12265 1667 376
53236 2164 625
5395 1 565
1927 118 993
39739 3803 547
44589 1 837
146135 1399 252
21469 5788 60
3472 2 574
84280 2850 547
18974 207 149
18408 1002 924
141733 172 91
20595 1 132
33408 1665 423
176725 1371 132
33401 1180 534
14944 1 350
230214 26 771
137149 35 648
161794 1 149
68785 273 180
43023 1 1011
48000 1 865
3312 1 953
41534 2417 83
115612 479 170
143723 1 647
787 1 3
142384 7 423
20024 2 162
84607 2635 935
27689 6354 1000
92268 3 119
40268 1 48
227068 1393 12
137360 2 423
15944 1922 930
14606 1 647
50200 2478 162
58573 2278 202
265803 2 809
151754 1 807
59688 1 205
126035 19 773
77923 1 1015
11195 1 415
26916 3 80
133261 3898 949
25825 3450 800
27585 1 186
37650 1 618
1031 1 313
83774 14047 859
635 1 757
226950 304 152
8069 10 917
178753 3 423
23132 1 617
145555 1481 439
7481 869 48
132516 1 249
59197 49 47
59196 4390 718
291783 7 807
28267 1 768
154956 1915 592
108099 29 186
288412 1404 926
34453 2 149
1102 1432 33
1451 1 109
152022 2 476
77491 2 468
27021 2 565
209755 16 191
51796 214 535
7570 1 267
7573 1 61
5729 1 433
50531 2 729
31547 1 652
7578 1 233
9816 2254 536
100100 1485 439
35075 1 799
7773 916 310
225991 42 149
21247 3 648
88641 651 72
35496 82 815
286813 678 954
8316 52 119
235128 1 657
28847 1280 362
23350 299 688
130593 3 186
23829 4293 212
52978 1213 138
72413 11 233
163939 1 254
4159 1523 512
86070 3 768
92702 2 957
32927 139 1004
22192 1182 930
59906 76 476
215 2242 426
117540 3 979
286254 2 211
79981 434 125
578 1110 2
52952 495 1014
273096 1 680
34290 2 600
23911 14321 807
78843 1 366
25772 1 715
82351 1 750
25774 1 209
92012 3274 242
51959 1 177
