STRAIN	BC_ID	MU_ID	ENV	gen_0	gen_10	gen_20	gen_30	gen_40
DivAnc	33933	474	1_SC3	128	617	296	664	396
DivAnc	37291	138	1_SC3	487	2632	1352	2625	2217
DivAnc	146995	147	1_SC3	7	48	34	104	45
DivAnc	255444	809	1_SC3	1	0	0	0	0
DivAnc	62633	423	1_SC3	1580	9426	4591	9411	7332
DivAnc	3042	486	1_SC3	185	1324	787	1472	1099
DivAnc	167818	159	1_SC3	1	14	5	35	23
DivAnc	158049	213	1_SC3	1	32	7	34	8
DivAnc	45928	833	1_SC3	1	9	19	48	38
DivAnc	42699	476	1_SC3	2	8	6	58	24
DivAnc	306117	816	1_SC3	3	22	18	21	35
DivAnc	226778	712	1_SC3	957	5610	2556	5288	4128
DivAnc	40002	40	1_SC3	3	27	21	40	51
DivAnc	13001	546	1_SC3	79	532	189	472	293
DivAnc	61983	941	1_SC3	1	0	0	0	0
DivAnc	149577	423	1_SC3	297	1790	927	1834	1408
DivAnc	67516	72	1_SC3	2	4	0	0	0
DivAnc	76674	526	1_SC3	2	11	15	16	22
DivAnc	1095	287	1_SC3	328	1904	912	1542	1073
DivAnc	89061	783	1_SC3	357	2077	1164	2431	1934
DivAnc	89064	1001	1_SC3	332	1952	913	1878	1524
DivAnc	118526	780	1_SC3	69	399	259	493	389
DivAnc	29999	853	1_SC3	200	1271	663	1312	1031
DivAnc	228400	9	1_SC3	90	494	249	433	377
DivAnc	14584	173	1_SC3	262	1436	889	1621	1187
DivAnc	18837	521	1_SC3	207	1153	551	1084	896
DivAnc	18002	162	1_SC3	1	6	12	12	2
DivAnc	27521	109	1_SC3	144	819	476	871	676
DivAnc	14745	217	1_SC3	232	1313	706	1419	1213
DivAnc	82016	111	1_SC3	1	31	33	32	7
DivAnc	29681	601	1_SC3	218	1207	594	1162	857
DivAnc	1418	750	1_SC3	68	368	172	337	254
DivAnc	67607	239	1_SC3	147	846	389	827	792
DivAnc	47440	50	1_SC3	127	832	339	895	685
DivAnc	1410	536	1_SC3	2	18	7	0	0
DivAnc	1326	295	1_SC3	344	1792	947	1740	1270
DivAnc	67923	781	1_SC3	1	4	0	0	0
DivAnc	88933	347	1_SC3	2	10	12	41	28
DivAnc	93729	530	1_SC3	1	11	11	12	5
DivAnc	268193	147	1_SC3	34	248	88	197	84
DivAnc	8686	440	1_SC3	17	41	4	0	0
DivAnc	176822	296	1_SC3	1	6	2	0	0
DivAnc	8137	584	1_SC3	37	241	145	304	203
DivAnc	61128	620	1_SC3	1	5	0	0	0
DivAnc	15183	1011	1_SC3	3	79	30	96	61
DivAnc	27665	246	1_SC3	96	631	355	551	504
DivAnc	151009	204	1_SC3	86	509	229	563	362
DivAnc	186559	802	1_SC3	347	2036	1112	2385	1893
DivAnc	34036	605	1_SC3	2	0	0	0	0
DivAnc	2395	660	1_SC3	498	2963	1522	2614	2190
DivAnc	1522	90	1_SC3	2	9	0	0	0
DivAnc	25807	292	1_SC3	1	0	0	0	0
DivAnc	28333	423	1_SC3	627	3429	1784	3322	2749
DivAnc	308	163	1_SC3	177	1229	610	1251	861
DivAnc	127128	203	1_SC3	3	10	10	15	7
DivAnc	322962	648	1_SC3	284	1648	789	1573	1030
DivAnc	300	109	1_SC3	352	1742	790	1583	1169
DivAnc	3950	947	1_SC3	1	24	7	56	52
DivAnc	92836	423	1_SC3	114	638	293	545	415
DivAnc	53913	632	1_SC3	1	0	0	0	0
DivAnc	228988	484	1_SC3	329	2144	1093	2220	1564
DivAnc	88334	391	1_SC3	221	1358	703	1456	1015
DivAnc	24689	949	1_SC3	2	0	0	0	0
DivAnc	35293	423	1_SC3	689	4076	1903	3957	2839
DivAnc	51425	777	1_SC3	328	1899	1007	2048	1646
DivAnc	160908	1001	1_SC3	221	1331	740	1630	1310
DivAnc	51354	1013	1_SC3	131	689	321	557	404
DivAnc	100250	892	1_SC3	43	274	117	257	233
DivAnc	19899	677	1_SC3	28	160	60	105	74
DivAnc	298846	552	1_SC3	3	49	37	69	97
DivAnc	50972	423	1_SC3	922	4972	2572	4748	3857
DivAnc	28151	205	1_SC3	1	9	3	4	6
DivAnc	170379	311	1_SC3	1	12	0	0	0
DivAnc	127237	361	1_SC3	1	17	3	10	7
DivAnc	213112	837	1_SC3	2	12	0	0	0
DivAnc	150994	261	1_SC3	69	535	244	537	312
DivAnc	27542	245	1_SC3	6	55	42	62	30
DivAnc	1249	1012	1_SC3	132	683	351	644	565
DivAnc	16525	461	1_SC3	299	1705	900	1924	1446
DivAnc	73350	493	1_SC3	3	30	20	58	73
DivAnc	56165	313	1_SC3	2	27	19	51	16
DivAnc	181230	432	1_SC3	541	3084	1438	2840	2090
DivAnc	20260	647	1_SC3	429	2427	1323	2765	2292
DivAnc	6601	185	1_SC3	1	5	0	0	0
DivAnc	230579	896	1_SC3	1	11	6	7	0
DivAnc	200875	652	1_SC3	1	5	3	6	0
DivAnc	12639	534	1_SC3	532	3420	1681	3250	2429
DivAnc	177912	83	1_SC3	2	7	2	35	15
DivAnc	22425	170	1_SC3	43	241	161	296	272
DivAnc	78899	686	1_SC3	401	2170	1121	2247	1860
DivAnc	11504	13	1_SC3	607	3515	1960	3589	2866
DivAnc	69912	1001	1_SC3	1	22	0	0	0
DivAnc	117933	132	1_SC3	3	19	5	0	0
DivAnc	69266	650	1_SC3	120	777	408	789	676
DivAnc	11501	169	1_SC3	4	49	30	48	71
DivAnc	57342	1005	1_SC3	201	1252	697	1493	1065
DivAnc	174312	6	1_SC3	114	673	272	549	408
DivAnc	100325	302	1_SC3	1	20	9	23	18
DivAnc	120302	423	1_SC3	698	4342	1957	4055	3510
DivAnc	19533	367	1_SC3	317	2035	1134	2150	1519
DivAnc	191733	464	1_SC3	84	461	217	489	333
